date,d,t,cp,cpj,f1,f2,f3,f4,f5,f6,z1,z2,z3,z4,z5,z6,fz1,fz2,fz3,fz4,fz5,fz6,X1,X2,X3,X4,X5,X6
7/25/1997,634,580,12523.0,12204.200000000008,-0.005835853188050577,0.028301591094534118,-0.010245974335076014,0.002866223416031266,0.31551724137931014,0.5739621650026271,-0.3174568788544153,0.16707882949152564,-2.012898177596195,0.8549860359016145,-0.5835638662761838,-0.04639403061099841,0.3754484771080002,0.5663459882615047,0.022062671170841357,0.8037205608050753,0.27975688829778256,0.4814980971370261,0.4,0.6,0.2,1.0,0.4,0.6
7/28/1997,635,581,12938.0,12533.400000000009,0.027530005902800525,0.0524182090669143,-0.006373494604035246,0.0034407600476833444,0.6748997594226146,0.6820809248554912,0.9015347421679002,0.48492025520752263,-1.2950191596471323,1.0684398677771247,0.24271871914893617,0.24101119950302777,0.8163479648404248,0.6861335431448975,0.09765681005046573,0.8573389292941063,0.595888347383869,0.595226781801742,1.0,0.8,0.2,1.0,0.6,0.6
7/29/1997,636,582,13044.0,12695.200000000008,0.04287765623613771,0.062076493735394145,-0.001997114186397364,0.0036983346578056686,0.9541650817801439,0.7352207041513397,1.462247328880474,0.6122101999467192,-0.4837271982709981,1.1641348757113534,0.8847980106890828,0.38226929862954406,0.9281632768508982,0.7298006530284029,0.31428974402261584,0.8778153214812324,0.8118672087070062,0.6488691876418136,1.0,0.8,0.4,1.0,1.0,0.8
7/30/1997,637,583,13019.0,12813.60000000001,0.051997248006200314,0.06777330566735729,0.0005766747390176796,0.00394137530506522,1.0,0.7741066736731479,1.7954234033996697,0.6872904963864925,-0.006599054416635109,1.2544301756122156,0.9901804175341706,0.48563740083337487,0.9637068667682385,0.7540501567739063,0.497367377289913,0.8951571548795447,0.8389570288559127,0.6863878629637508,1.0,0.8,0.6,1.0,1.0,0.8
7/31/1997,638,584,12872.0,12879.200000000008,0.05295688331564685,0.0689239848243195,0.004203522749103739,0.00403756572752334,1.0,0.7896836127636557,1.8304828154252164,0.7024557033906177,0.665744835949277,1.2901671732765239,0.9901804175341706,0.527044588354505,0.9664111129410687,0.7588024913633133,0.7472128950061878,0.901503689477476,0.8389570288559127,0.7009186874504955,1.0,0.8,0.8,1.0,1.0,0.8
8/1/1997,639,585,12259.0,12826.400000000009,0.04137438295661244,0.06052212507916788,0.0069770902247154876,0.003790268070917202,0.9555330975240026,0.7656412749114645,1.4073265930810923,0.5917246264575582,1.1799078616838232,1.19829029457407,0.8879433155633774,0.4631343691447058,0.92033471637682,0.7229824984867973,0.8809815686357562,0.8845979881811115,0.812714378387723,0.6783659720118463,1.0,0.8,1.0,1.0,1.0,0.8
8/4/1997,640,586,12017.0,12642.200000000008,0.018559697836904476,0.04181019280023368,0.00771628994544038,0.0033420370716412684,0.7857917570498915,0.6960950764006789,0.5738126133732463,0.34511346231136725,1.3169404626109784,1.0317619670665286,0.49767860701799965,0.2782641281823684,0.7169526938226254,0.6349954634759197,0.9060707089401493,0.8489081798790726,0.6906447055382076,0.6095951946862141,0.8,0.8,1.0,1.0,0.8,0.8
8/5/1997,641,587,11909.0,12415.200000000008,-0.0045398346031289005,0.020176405914379636,0.004832482532807436,0.0028694239067017513,0.5806218365871293,0.6030260945837291,-0.2701080067211661,0.05999414436592261,0.7823411936359099,0.8561750932390596,0.02595746361221572,0.03086476685062644,0.39353858125501406,0.5239198507948111,0.7829929581061938,0.8040495314489868,0.5103543669358324,0.5123113057460236,0.4,0.6,0.8,1.0,0.6,0.6
8/6/1997,642,588,12523.0,12316.00000000001,-0.016776117782492772,0.009452263136894068,0.004355418856269555,0.002548633240369913,0.4028837998303652,0.5506103571157783,-0.7171495957744146,-0.08134312082945572,0.693903286300462,0.7369938379698657,-0.38269303318815356,-0.10846865788596628,0.23664089818241307,0.46758454106236697,0.7561285687313379,0.769436951672505,0.35097369032930853,0.45681197059114775,0.4,0.6,0.8,0.8,0.4,0.6
8/7/1997,643,589,12323.0,12206.200000000008,-0.02763925577304782,-0.001744260982269763,0.002157089095283782,0.0022008616571735917,0.002962962962962963,0.48615409029596107,-1.1140245616621285,-0.22890606656149168,0.2863776387690483,0.6077885393673896,-1.3021802270876546,-0.2798086568172425,0.13263432487431687,0.4094709626580535,0.6127055502465486,0.7283361343196957,0.09642739141289891,0.389812154858911,0.2,0.6,0.8,0.8,0.2,0.4
