hash,node_id
0.40.80.80.20.40.6,322
0.60.80.80.20.80.6,323
1.01.01.01.00.81.0,324
1.01.01.01.00.80.8,325
0.81.01.01.00.80.8,326
0.41.00.81.00.40.8,327
0.21.00.21.00.20.8,328
0.20.20.20.80.20.4,329
0.20.20.20.80.20.2,330
0.40.20.20.80.40.2,331
0.60.20.20.80.40.2,332
0.60.20.20.80.60.2,333
0.60.20.20.60.60.2,334
0.60.20.40.60.60.2,335
0.60.20.80.60.80.2,336
0.80.20.80.41.00.2,337
0.60.20.80.40.80.2,338
0.40.20.60.40.20.2,339
0.20.20.20.20.40.2,340
1.00.20.40.40.80.4,341
1.00.40.80.41.00.4,342
1.00.41.00.41.00.6,343
1.01.01.00.61.00.8,344
1.01.01.00.81.00.8,345
0.81.00.80.81.01.0,346
0.61.00.80.80.81.0,347
0.61.01.01.00.81.0,348
0.40.40.20.60.20.2,349
0.60.40.20.60.20.2,350
0.60.40.40.60.60.2,351
0.60.40.60.60.60.2,352
0.60.40.60.60.80.2,353
0.80.40.60.61.00.2,354
0.80.40.80.61.00.2,355
1.00.60.80.61.00.4,356
1.00.81.00.61.00.6,357
0.80.61.00.60.80.6,358
0.60.60.80.60.60.4,359
0.40.60.80.60.40.4,360
0.40.60.60.60.20.4,361
0.40.60.60.60.40.4,362
0.40.40.40.40.20.4,363
0.40.40.40.40.20.2,364
0.40.40.20.40.20.2,365
0.20.40.20.20.20.2,366
0.40.20.40.20.20.2,367
0.80.20.60.41.00.2,368
1.00.20.80.41.00.2,369
1.00.40.80.41.00.2,370
0.80.81.00.41.00.8,371
0.60.80.80.40.80.8,372
0.60.80.80.41.01.0,373
0.60.80.60.61.01.0,374
0.60.80.60.60.61.0,375
0.20.60.40.60.20.8,376
0.40.80.40.60.40.8,377
0.80.80.40.80.81.0,378
0.60.80.60.80.80.8,379
0.40.60.60.80.40.8,380
0.40.60.60.80.20.8,381
0.60.60.60.80.40.8,382
1.00.81.01.01.01.0,383
0.41.00.81.00.60.8,384
0.61.00.41.00.40.8,385
0.81.00.41.01.01.0,386
0.61.01.01.00.80.8,387
0.40.80.81.00.20.8,388
0.60.80.41.00.20.8,389
0.80.80.61.01.00.8,390
1.00.80.81.01.01.0,391
0.20.60.60.60.20.6,392
0.60.60.40.80.40.8,393
0.60.60.40.80.60.8,394
0.80.60.60.81.01.0,395
1.00.80.60.81.01.0,396
0.80.60.80.60.80.8,397
0.40.60.80.60.20.6,398
0.40.20.60.20.20.2,399
0.81.01.00.41.00.8,400
0.81.00.80.41.01.0,401
0.81.00.80.61.01.0,402
0.81.00.80.60.81.0,403
0.61.00.60.81.01.0,404
0.81.00.80.80.81.0,405
0.40.80.60.80.40.8,406
0.40.80.60.80.20.8,407
0.60.80.61.00.61.0,408
0.60.80.61.00.81.0,409
0.40.60.41.00.40.8,410
0.60.60.41.00.40.8,411
1.00.60.80.81.01.0,412
0.80.60.80.80.80.8,413
0.60.60.80.80.60.8,414
0.60.60.40.60.80.8,415
0.60.60.60.61.00.8,416
0.60.60.60.61.01.0,417
0.40.60.40.60.20.8,418
0.40.40.40.60.20.6,419
0.40.20.40.40.20.2,420
0.20.20.40.40.20.2,421
0.80.20.40.21.00.2,422
0.80.20.60.21.00.2,423
0.60.20.40.20.20.2,424
0.80.40.40.20.80.2,425
1.00.60.80.21.00.4,426
0.60.61.00.40.80.6,427
0.40.60.80.40.40.6,428
0.40.60.60.40.40.8,429
0.60.80.60.40.81.0,430
1.01.00.80.61.01.0,431
0.21.00.61.00.20.8,432
0.60.80.21.00.40.8,433
0.60.80.41.00.40.8,434
0.40.60.41.00.20.8,435
0.60.40.20.80.40.6,436
0.80.40.40.81.00.6,437
0.80.40.60.80.80.6,438
0.60.40.60.80.80.6,439
0.40.40.60.80.40.4,440
0.40.40.60.80.20.4,441
0.20.20.40.60.20.4,442
0.20.20.40.60.20.2,443
0.80.40.60.21.00.2,444
0.80.40.80.41.00.4,445
0.80.40.80.40.80.4,446
0.80.41.00.40.80.4,447
0.60.40.80.40.60.4,448
0.40.40.60.20.20.2,449
0.40.40.40.20.20.2,450
0.60.60.40.20.60.4,451
0.80.60.60.20.80.4,452
0.60.60.60.40.80.4,453
0.60.60.60.40.60.4,454
0.80.60.60.61.00.8,455
1.00.60.60.61.01.0,456
0.80.81.00.61.01.0,457
0.60.81.00.80.80.8,458
0.40.60.80.80.60.8,459
0.40.40.20.40.20.4,460
0.40.40.40.40.40.2,461
0.60.40.40.40.20.2,462
0.60.40.40.40.40.2,463
0.60.40.40.40.80.2,464
0.60.40.60.40.40.2,465
0.60.40.60.40.60.2,466
0.60.40.60.40.80.2,467
0.40.40.60.40.20.2,468
0.60.40.60.41.00.2,469
0.60.20.60.20.40.2,470
0.60.20.60.20.80.2,471
0.80.61.00.20.80.4,472
0.60.61.00.20.80.4,473
0.40.60.80.20.40.4,474
0.60.60.80.20.40.4,475
0.80.60.80.21.00.6,476
1.01.01.00.41.00.8,477
0.40.80.61.00.21.0,478
0.40.80.41.00.41.0,479
0.20.60.61.00.20.8,480
0.40.60.20.80.20.4,481
0.40.40.20.60.20.4,482
0.80.40.40.40.80.2,483
0.80.40.60.41.00.2,484
0.80.60.80.61.00.4,485
0.80.81.00.80.81.0,486
0.80.81.00.80.80.8,487
0.60.80.80.80.80.8,488
0.40.60.80.60.40.8,489
0.40.80.60.60.40.8,490
0.60.80.60.60.60.8,491
0.40.60.60.40.20.8,492
0.20.60.40.40.20.6,493
0.20.60.20.60.20.4,494
0.60.40.60.60.80.4,495
0.60.60.80.80.80.6,496
0.60.40.60.60.40.6,497
0.80.40.80.20.80.2,498
0.60.40.80.20.80.2,499
0.80.40.80.21.00.4,500
0.60.40.80.20.80.4,501
0.60.40.60.20.80.4,502
0.40.40.60.20.20.4,503
0.20.40.40.40.20.2,504
0.20.40.40.20.20.2,505
0.60.20.80.20.60.2,506
0.80.20.40.20.60.2,507
1.00.40.60.21.00.2,508
1.00.61.00.40.80.6,509
0.60.61.00.40.80.4,510
0.40.40.80.40.60.4,511
0.20.40.80.20.20.4,512
0.20.40.60.20.20.4,513
0.20.40.40.20.20.4,514
0.40.60.40.20.40.4,515
0.60.60.40.40.40.6,516
0.60.60.40.40.40.4,517
0.40.20.20.40.40.2,518
1.00.61.00.41.00.4,519
0.40.80.80.40.40.6,520
0.40.80.60.40.40.8,521
0.40.80.60.40.20.8,522
0.60.80.60.40.40.8,523
0.60.80.40.60.40.8,524
0.60.80.40.60.80.8,525
0.81.01.00.81.01.0,526
0.40.20.20.60.20.2,527
0.40.20.40.60.20.2,528
0.40.20.40.40.40.2,529
0.60.20.60.40.80.2,530
0.80.40.80.41.00.2,531
1.00.41.00.41.00.4,532
0.80.81.00.41.00.6,533
0.80.80.80.41.00.6,534
0.80.80.80.41.00.8,535
0.81.01.00.80.81.0,536
0.61.00.80.80.80.8,537
0.61.00.80.80.60.8,538
0.61.00.41.00.61.0,539
0.60.60.40.80.40.6,540
0.80.60.40.80.80.6,541
0.60.60.80.61.00.8,542
0.60.60.60.60.80.8,543
0.40.40.40.60.40.2,544
0.60.40.40.60.60.4,545
1.00.60.60.61.00.8,546
1.00.60.80.61.01.0,547
1.00.61.00.61.01.0,548
1.01.00.61.01.01.0,549
0.60.80.81.01.01.0,550
0.20.60.41.00.20.8,551
0.80.60.20.80.60.6,552
0.80.60.40.81.00.6,553
0.20.40.60.60.20.2,554
0.80.40.40.60.80.4,555
1.00.60.60.81.00.6,556
1.00.60.80.81.00.6,557
0.60.40.80.60.60.4,558
0.40.40.80.60.40.2,559
0.20.40.60.40.20.2,560
0.60.40.40.20.40.2,561
0.40.40.60.20.40.2,562
1.00.60.60.41.00.4,563
1.00.60.80.41.00.6,564
0.20.60.40.60.20.4,565
0.60.20.40.21.00.2,566
0.80.41.00.21.00.4,567
0.80.41.00.41.00.4,568
0.60.40.60.21.00.4,569
0.80.60.80.21.00.4,570
0.80.80.80.21.00.6,571
1.00.80.80.41.01.0,572
0.61.00.80.61.01.0,573
0.60.80.61.00.60.8,574
0.40.60.40.80.20.8,575
0.40.60.40.80.40.8,576
0.60.80.80.80.81.0,577
0.60.80.80.80.60.8,578
0.60.80.80.80.40.8,579
0.40.60.40.60.40.6,580
0.80.60.80.81.01.0,581
0.60.60.80.61.01.0,582
0.60.80.80.60.60.8,583
0.40.60.20.60.20.4,584
0.40.60.20.60.20.6,585
0.60.60.40.60.20.4,586
0.80.60.80.60.80.6,587
0.60.60.80.60.80.6,588
0.60.80.60.80.40.8,589
0.60.80.60.80.41.0,590
0.60.40.40.60.40.2,591
0.60.40.60.61.00.2,592
0.41.00.60.80.20.8,593
0.20.80.20.80.20.8,594
0.40.40.40.80.20.4,595
0.40.40.40.80.40.4,596
0.60.20.60.40.60.2,597
0.60.20.60.41.00.2,598
0.40.40.60.40.40.4,599
0.60.60.40.40.80.6,600
0.80.60.60.40.80.8,601
0.80.60.60.41.00.8,602
0.60.60.60.40.60.8,603
0.40.60.60.40.20.4,604
0.40.60.40.60.20.4,605
0.40.40.40.60.40.4,606
0.60.60.60.60.80.4,607
0.60.60.80.60.80.8,608
0.60.80.60.60.41.0,609
0.40.80.20.80.20.6,610
1.00.60.80.81.00.8,611
0.80.80.80.80.80.8,612
0.60.80.40.80.40.8,613
0.80.81.01.01.01.0,614
0.80.60.40.80.60.8,615
0.80.60.40.80.80.8,616
0.60.60.60.80.80.6,617
0.60.60.80.60.40.8,618
0.40.80.80.60.40.8,619
0.60.40.20.40.40.2,620
0.60.40.40.40.60.2,621
0.40.40.80.20.60.4,622
0.40.40.40.20.40.2,623
0.60.40.40.20.60.4,624
0.80.60.60.21.00.4,625
0.80.60.60.21.00.6,626
0.20.40.40.80.20.6,627
0.80.60.40.81.00.8,628
0.60.60.60.60.80.6,629
0.80.40.60.61.00.6,630
1.00.60.80.61.00.8,631
0.40.60.20.80.40.6,632
0.60.60.40.80.80.6,633
0.60.60.60.80.81.0,634
0.60.60.60.81.01.0,635
0.60.40.20.60.40.4,636
0.60.40.40.40.80.4,637
0.61.00.80.81.01.0,638
0.60.80.61.01.01.0,639
0.80.80.61.00.81.0,640
0.80.80.81.00.81.0,641
0.80.40.40.40.80.4,642
1.00.40.40.41.00.4,643
1.00.40.60.41.00.4,644
0.60.40.80.40.60.6,645
0.60.60.80.40.60.6,646
0.80.80.80.61.00.8,647
1.00.80.80.61.00.8,648
1.00.60.60.81.00.8,649
0.80.61.00.80.80.8,650
0.40.40.20.60.40.4,651
0.80.60.40.60.60.6,652
0.60.40.60.60.40.4,653
1.00.40.40.40.80.4,654
0.80.41.00.61.00.6,655
0.80.61.00.61.00.6,656
0.80.81.00.60.81.0,657
0.60.80.80.60.61.0,658
0.20.60.20.40.20.6,659
0.40.40.20.40.20.6,660
0.40.40.40.40.40.6,661
0.60.40.40.40.40.6,662
0.80.61.00.81.00.8,663
0.40.60.80.60.60.6,664
0.40.60.80.60.40.6,665
0.61.00.61.00.21.0,666
0.60.20.60.21.00.2,667
0.60.20.80.21.00.2,668
1.00.21.00.20.80.2,669
0.40.21.00.20.60.2,670
1.00.41.00.21.00.2,671
1.00.81.00.41.01.0,672
0.40.81.00.60.60.8,673
0.20.80.80.40.20.8,674
0.20.60.40.40.20.8,675
0.20.60.40.40.40.8,676
0.60.80.40.60.60.8,677
1.01.00.60.61.01.0,678
0.60.81.01.00.60.8,679
0.40.81.01.00.60.8,680
0.20.80.80.80.20.6,681
0.20.80.60.80.20.6,682
0.80.80.40.81.00.6,683
0.80.80.80.81.00.8,684
0.80.80.81.01.00.8,685
0.40.40.20.40.40.2,686
0.80.40.40.60.60.2,687
1.00.61.00.41.00.8,688
1.00.81.00.60.81.0,689
0.61.01.01.00.61.0,690
0.61.00.81.00.41.0,691
0.60.60.20.80.40.8,692
0.40.60.60.80.40.6,693
0.40.40.60.80.20.6,694
0.60.80.60.60.21.0,695
0.40.80.80.80.40.8,696
0.20.80.60.80.20.8,697
0.40.80.20.80.40.8,698
0.60.60.60.80.20.8,699
0.40.60.40.60.40.8,700
0.60.60.60.80.61.0,701
0.40.60.60.80.21.0,702
0.40.40.20.60.40.2,703
1.00.40.60.41.00.6,704
0.80.40.80.41.00.6,705
0.60.60.60.41.00.6,706
0.60.60.60.40.20.8,707
0.60.60.60.40.40.8,708
0.60.60.60.40.81.0,709
0.20.40.20.60.20.6,710
0.60.60.80.21.00.4,711
0.60.60.80.20.80.4,712
0.40.60.60.20.20.4,713
0.40.40.40.20.20.4,714
0.40.40.20.20.20.2,715
0.60.40.40.40.40.4,716
0.80.60.40.40.60.4,717
0.80.60.40.41.00.6,718
0.80.60.80.40.80.8,719
0.60.60.80.81.01.0,720
0.60.80.60.60.40.8,721
0.60.40.60.60.20.2,722
0.40.40.60.60.20.2,723
0.60.60.80.61.00.6,724
0.60.60.60.40.60.6,725
0.60.60.60.40.20.6,726
0.40.60.40.40.20.4,727
0.60.40.60.40.40.4,728
0.60.40.60.40.60.4,729
0.60.40.60.61.00.4,730
0.60.40.60.41.00.4,731
0.60.40.40.40.20.4,732
0.60.60.60.41.00.4,733
0.80.60.80.41.01.0,734
0.60.60.60.60.40.8,735
0.60.40.40.20.20.2,736
0.60.40.40.41.00.2,737
0.40.40.60.40.40.2,738
0.40.20.80.20.60.2,739
0.60.20.80.20.40.2,740
0.80.20.60.21.00.4,741
0.60.41.00.20.80.4,742
0.40.40.80.20.40.4,743
0.60.40.60.20.40.4,744
0.60.60.60.20.80.6,745
0.60.60.60.40.80.6,746
0.40.60.40.20.20.6,747
0.20.40.20.20.20.4,748
0.60.40.40.20.60.2,749
0.80.40.40.20.80.4,750
0.80.61.00.61.00.8,751
0.60.80.60.80.21.0,752
0.80.60.40.60.80.8,753
0.60.40.60.40.20.2,754
0.40.40.80.20.40.2,755
0.80.40.60.20.80.2,756
0.60.40.60.20.80.2,757
0.60.40.60.20.40.2,758
0.80.60.60.41.00.4,759
0.60.80.60.60.20.8,760
0.60.81.00.80.81.0,761
0.40.40.20.60.20.6,762
0.60.20.40.40.80.2,763
0.60.40.60.20.60.2,764
0.60.60.80.41.00.4,765
0.60.60.60.40.80.8,766
0.40.40.60.40.20.6,767
0.60.40.80.20.60.4,768
0.60.60.60.20.80.4,769
1.00.80.80.21.00.6,770
1.00.80.80.41.00.6,771
0.80.81.00.41.01.0,772
0.40.60.80.80.40.8,773
0.60.40.40.20.80.2,774
0.80.40.40.21.00.2,775
1.00.60.80.41.00.4,776
0.60.60.80.60.81.0,777
1.00.40.60.61.00.4,778
0.40.40.80.40.40.2,779
1.00.60.80.40.80.6,780
0.80.60.80.40.80.4,781
0.40.40.80.40.40.4,782
0.20.40.60.20.20.2,783
0.80.40.80.20.80.4,784
0.80.60.80.21.00.2,785
0.60.80.80.60.80.8,786
0.60.40.40.60.20.4,787
0.60.40.20.20.40.2,788
0.60.40.60.21.00.2,789
0.40.60.80.40.60.4,790
0.40.60.80.40.40.4,791
0.60.60.40.40.20.6,792
0.80.60.60.60.80.8,793
0.60.40.80.21.00.4,794
0.80.61.00.41.00.6,795
0.61.01.01.01.01.0,796
0.60.40.80.40.60.2,797
0.60.40.60.60.40.2,798
0.80.40.60.60.80.4,799
0.61.00.60.80.81.0,800
0.60.80.41.00.81.0,801
0.40.60.20.60.40.4,802
0.60.60.80.60.60.6,803
0.80.61.00.41.00.8,804
0.80.60.60.61.00.4,805
0.60.40.40.60.80.2,806
0.60.60.80.41.00.6,807
0.60.40.80.40.80.2,808
0.60.40.80.41.00.2,809
0.60.40.80.41.00.4,810
0.60.60.80.40.80.8,811
0.60.60.60.41.00.8,812
0.40.80.40.80.40.8,813
0.60.60.60.80.21.0,814
0.20.40.40.60.20.6,815
0.60.40.40.60.80.4,816
1.00.60.80.41.00.8,817
