date,cp,d,cpj,maq_10,maq_50,f1,f2,f3,f4,f5,f6,t,z1,fz1,X1,z2,fz2,X2,z3,fz3,X3,z4,fz4,X4,z5,fz5,X5,z6,fz6,X6
4/14/2014,51597.0,4772,51481.20000000001,51058.07999999965,47896.68,0.008287033119936504,0.0748385900651154,0.004497390097242926,0.0016123940538494974,0.9425774548390339,0.9815780101660888,4718,0.19851005690500484,0.5786769914756003,0.6,0.7804063747672949,0.7824241415963229,0.8,0.7202218682235705,0.7643057991772748,0.8,0.38915902482637144,0.6514207437739703,0.8,0.8581560515866413,0.8045968500227643,1.0,1.0371452731763877,0.8501659206962084,1.0
4/15/2014,50454.0,4773,51246.20000000001,51221.37999999965,47969.67600000001,0.0004845632819803214,0.06830406776147502,0.0031983184639923223,0.0015240304755987921,0.7175251052802056,0.943536115517855,4719,-0.08654615369188882,0.4655161341694047,0.6,0.6942855974783451,0.756248439327462,0.8,0.4794003964291168,0.6841730942425213,0.8,0.35632988332914745,0.6392032337889448,0.8,0.34072176384797265,0.6333434735797421,0.8,0.9360209215816394,0.8253687920460497,1.0
4/16/2014,51201.0,4774,51249.40000000001,51310.29999999965,48048.948000000004,-0.0011868961982220982,0.06660815966251765,0.0017359938369485572,0.0016525439946686316,0.6084296397008797,0.9440541328066815,4720,-0.14761142090701485,0.441324720633151,0.6,0.671934625684819,0.749187342105593,0.8,0.2083151383785162,0.5825085438980091,0.6,0.40407566938004535,0.656921461986012,0.8,0.08989241397352887,0.5358136452405211,0.6,0.9373979340288857,0.8257230483661221,1.0
4/17/2014,52111.0,4775,51446.000000000015,51383.65999999965,48135.66000000001,0.0012132261501101027,0.06877105247959636,0.0014297324318899296,0.0018046596982728147,0.7595998709261064,0.9758798199889921,4721,-0.059925111854430335,0.47610763973191866,0.6,0.7004401540071775,0.7581737664215522,0.8,0.1515404999118874,0.560225317298239,0.6,0.46059022047034887,0.6774536853810241,0.8,0.43745892938494996,0.6691107224001183,0.8,1.0219981362566648,0.8466091087432435,1.0
4/22/2014,51977.0,4776,51468.000000000015,51432.939999999646,48226.544000000016,0.00068166431863248,0.06721310985916795,0.0009590597477875384,0.0018880804792122952,0.635894495412847,0.9794411888496779,4722,-0.07934524477719303,0.4683790097939282,0.6,0.6799074779815512,0.751718476810157,0.8,0.06428735265059403,0.5256292881269021,0.6,0.4915829968549932,0.6884929170550407,0.8,0.1530388689251237,0.5608161883295399,0.6,1.0314650968314925,0.8488386161462332,1.0
4/23/2014,51570.0,4777,51462.60000000001,51446.87999999965,48315.34400000001,0.00030555788806552187,0.06513988599563736,0.00027103253284765927,0.0018413096323053324,0.6204128440366963,0.978567034674782,4723,-0.09308595459153872,0.4629176377984657,0.6,0.6525837284671014,0.7429876608220423,0.8,-0.06325890599709756,0.47478016922715827,0.6,0.47420653042560856,0.6823236815197623,0.8,0.11744387394488708,0.5467458408841114,0.6,1.0291413883267613,0.8482933801199561,1.0
4/24/2014,51817.0,4778,51735.20000000001,51460.89999999965,48407.856000000014,0.005330260450174151,0.06873562010265433,0.0002725140960930794,0.0019147540375579197,1.0,1.0,4724,0.09048702953759676,0.5360498997006726,0.6,0.6999731781975238,0.758027972484981,0.8,-0.06298425429030456,0.47488952134023626,0.6,0.5014928492907843,0.6919878454479604,0.8,0.9901804175341706,0.8389570288559127,1.0,1.086115278331633,0.8612860031606444,1.0
4/25/2014,51399.0,4779,51774.80000000001,51489.199999999655,48494.90800000001,0.005546794279195577,0.06763374002070477,0.0005499320843591615,0.0017983031514552383,1.0,1.0,4725,0.09839789802524113,0.5391918281426828,0.6,0.6854511114377483,0.7534703496636285,0.8,-0.011556598935131076,0.4953896866890787,0.6,0.4582286142629149,0.6766058978596607,0.8,0.9901804175341706,0.8389570288559127,1.0,1.086115278331633,0.8612860031606444,1.0
4/28/2014,51384.0,4780,51629.40000000001,51508.559999999656,48573.056000000004,0.002346017826946767,0.06292262113382385,0.00037600118083025436,0.0016114681566155031,0.7249337873628418,0.9771282954759954,4726,-0.018539587847157164,0.4926041982252712,0.6,0.6233616117641749,0.7334765407502895,0.8,-0.04379985258355424,0.4825319722971419,0.6,0.38881503229111614,0.651293510021449,0.8,0.3577556057253221,0.6397368919793404,0.8,1.025316879323291,0.8473931530543126,1.0
4/29/2014,51839.0,4781,51601.80000000001,51509.45999999966,48644.28,0.0017926804124981377,0.060798926410258636,1.7472823934605586e-05,0.0014663273399968535,0.6727203934922428,0.9727867614673127,4727,-0.03875527208817773,0.4845427528621736,0.6,0.5953726889601335,0.7242028113956787,0.8,-0.11026372137854101,0.45610011396410066,0.6,0.3348918152810778,0.6311466517855528,0.8,0.23770797982488795,0.5939462029745076,0.6,1.0137760553024513,0.8446551883096025,1.0
